Scale,county,species,mean_birds,Rank,%,check
County,Aberdeen City,Magpie,0.843,13,40.43,0
County,Aberdeen City,Carrion crow,0.842,14,35.59,0
County,Aberdeen City,Dunnock,0.816,15,43.94,0
County,Aberdeen City,Siskin,0.422,16,11.57,0
County,Aberdeen City,Common gull,0.422,17,10.14,0
County,Aberdeen City,Long tailed tit,0.416,18,8.63,0
County,Aberdeen City,Jackdaw,0.306,19,13.17,0
County,Aberdeen City,Collared Dove,0.294,20,13.21,0
County,Aberdeen City,Fieldfare,0.278,21,4.98,0
County,Aberdeen City,Herring gull,0.255,22,9.96,0
County,Aberdeen City,Wren,0.189,23,14.41,0
County,Aberdeen City,Tree sparrow,0.169,24,4.63,0
County,Aberdeen City,Rook,0.15,25,2.85,0
County,Aberdeen City,Song Thrush,0.109,26,7.3,0
County,Aberdeen City,Great spotted woodpecker,0.089,27,7.65,0
County,Aberdeen City,Bullfinch,0.078,28,4.8,0
County,Aberdeen City,Blackcap,0.075,29,6.41,0
County,Aberdeen City,Redwing,0.057,30,1.6,0
County,Aberdeen City,Pheasant,0.055,31,2.67,0
County,Aberdeen City,Mallard,0.046,32,0.53,0
County,Aberdeen City,Treecreeper,0.041,33,3.91,0
County,Aberdeen City,Sparrowhawk,0.037,34,3.74,0
County,Aberdeen City,Yellowhammer,0.036,35,1.78,0
County,Aberdeen City,Goldcrest,0.034,36,2.85,0
County,Aberdeen City,Buzzard,0.034,37,2.67,0
County,Aberdeen City,Black headed gull,0.032,38,1.42,0
County,Aberdeen City,Hooded crow,0.021,39,1.42,0
County,Aberdeen City,Red Kite,0.016,40,0.89,0
County,Aberdeen City,Pied wagtail,0.014,41,1.07,0
County,Aberdeen City,Jay,0.011,42,0.53,0
County,Aberdeen City,Brambling,0.009,43,1.07,1
County,Aberdeen City,Mistle thrush,0.009,44,0.71,0
County,Aberdeen City,Grey heron,0.007,45,0.71,0
County,Aberdeen City,Kestrel,0.005,46,0.53,0
County,Aberdeen City,Raven,0.005,46,0.36,0
County,Aberdeen City,Grey wagtail,0.004,48,0.36,0
County,Aberdeen City,Lesser spotted woodpecker,0.004,48,0.36,0
County,Aberdeen City,Green woodpecker,0.002,50,0.18,0
County,Aberdeen City,Grey partridge,0.002,50,0.18,0
County,Aberdeen City,Redpoll,0.002,50,0.18,0
County,Aberdeen City,Willow tit,0.002,50,0.18,0
County,Aberdeen City,Barn owl,0,54,0,
County,Aberdeen City,Black redstart,0,54,0,
County,Aberdeen City,Chiffchaff,0,54,0,
County,Aberdeen City,Corn bunting,0,54,0,
County,Aberdeen City,Great black backed gull,0,54,0.18,
County,Aberdeen City,Lapwing,0,54,0,
County,Aberdeen City,Lesser black backed gull,0,54,0,
County,Aberdeen City,Linnet,0,54,0,
County,Aberdeen City,Little owl,0,54,0,
County,Aberdeen City,Marsh tit,0,54,0,
County,Aberdeen City,Meadow pipit,0,54,0,
County,Aberdeen City,Moorhen,0,54,0,
County,Aberdeen City,Nuthatch,0,54,0,
County,Aberdeen City,Red legged partridge,0,54,0,
County,Aberdeen City,Reed bunting,0,54,0,
County,Aberdeen City,Ring necked parakeet,0,54,0,
County,Aberdeen City,Skylark,0,54,0.18,
County,Aberdeen City,Stock dove,0,54,0,
County,Aberdeen City,Tawny owl,0,54,0,
County,Aberdeen City,Waxwing,0,54,0.36,
County,Aberdeenshire,House Sparrow,6.632,1,75.44,0
County,Aberdeenshire,Chaffinch,5.523,2,80.94,0
County,Aberdeenshire,Starling,4.483,3,50.39,0
County,Aberdeenshire,Blackbird,3.435,4,94.37,0
County,Aberdeenshire,Blue Tit,2.946,5,82.82,0
County,Aberdeenshire,Great Tit,1.8,6,64.67,0
County,Aberdeenshire,Goldfinch,1.77,7,33.09,0
County,Aberdeenshire,Greenfinch,1.646,8,43.86,0
County,Aberdeenshire,Coal Tit,1.594,9,56.38,0
County,Aberdeenshire,Robin,1.545,10,93.28,0
County,Aberdeenshire,Woodpigeon,1.142,11,44.34,0
County,Aberdeenshire,Dunnock,1.073,12,52.75,0
County,Aberdeenshire,Tree sparrow,1.057,13,18.89,0
County,Aberdeenshire,Carrion crow,0.998,14,33.62,0
County,Aberdeenshire,Collared Dove,0.981,15,37.99,0
County,Aberdeenshire,Jackdaw,0.631,16,18.42,0
County,Aberdeenshire,Siskin,0.62,17,18.73,0
County,Aberdeenshire,Long tailed tit,0.463,18,9.8,0
County,Aberdeenshire,Pheasant,0.432,19,20.38,0
County,Aberdeenshire,Magpie,0.39,20,20.99,0
County,Aberdeenshire,Common gull,0.351,21,7.37,0
County,Aberdeenshire,Great spotted woodpecker,0.351,22,26.49,0
County,Aberdeenshire,Rook,0.335,23,7.99,0
County,Aberdeenshire,Feral pigeon,0.317,24,8.39,0
County,Aberdeenshire,Wren,0.226,25,15.2,0
County,Aberdeenshire,Fieldfare,0.184,26,2.04,0
County,Aberdeenshire,Yellowhammer,0.154,27,8.15,0
County,Aberdeenshire,Buzzard,0.143,28,10.19,0
County,Aberdeenshire,Herring gull,0.138,29,4.94,0
County,Aberdeenshire,Song Thrush,0.13,30,8.15,0
County,Aberdeenshire,Treecreeper,0.091,31,7.84,0
County,Aberdeenshire,Bullfinch,0.064,32,3.68,0
County,Aberdeenshire,Sparrowhawk,0.059,33,6.19,1
County,Aberdeenshire,Brambling,0.057,34,3.68,0
County,Aberdeenshire,Jay,0.039,35,2.35,0
County,Aberdeenshire,Black headed gull,0.038,36,1.33,0
County,Aberdeenshire,Redpoll,0.038,37,0.86,0
County,Aberdeenshire,Hooded crow,0.034,38,1.72,0
County,Aberdeenshire,Mallard,0.034,39,0.94,0
County,Aberdeenshire,Pied wagtail,0.029,40,2.04,0
County,Aberdeenshire,Grey heron,0.025,41,2.51,0
County,Aberdeenshire,Red legged partridge,0.023,42,0.94,0
County,Aberdeenshire,Blackcap,0.02,43,1.8,0
County,Aberdeenshire,Moorhen,0.019,44,0.86,0
County,Aberdeenshire,Redwing,0.018,45,0.71,0
County,Aberdeenshire,Lesser spotted woodpecker,0.016,46,1.41,0
County,Aberdeenshire,Kestrel,0.015,47,1.8,1
County,Aberdeenshire,Red Kite,0.013,48,0.94,0
County,Aberdeenshire,Goldcrest,0.012,49,1.18,0
County,Aberdeenshire,Stock dove,0.012,49,0.55,0
County,Aberdeenshire,Mistle thrush,0.01,51,0.94,0
County,Aberdeenshire,Grey wagtail,0.009,52,0.71,0
County,Aberdeenshire,Grey partridge,0.006,53,0.63,0
County,Aberdeenshire,Green woodpecker,0.004,54,0.31,0
County,Aberdeenshire,Chiffchaff,0.003,55,0.16,0
County,Aberdeenshire,Linnet,0.002,56,0.31,1
County,Aberdeenshire,Barn owl,0.002,57,0.24,0
County,Aberdeenshire,Tawny owl,0.002,58,0.16,0
County,Aberdeenshire,Black redstart,0.001,59,0.08,0
County,Aberdeenshire,Meadow pipit,0.001,59,0.08,0
County,Aberdeenshire,Nuthatch,0.001,59,0.08,0
County,Aberdeenshire,Reed bunting,0.001,59,0.08,0
County,Aberdeenshire,Skylark,0.001,59,0.08,0
County,Aberdeenshire,Corn bunting,0,64,0.16,
County,Aberdeenshire,Great black backed gull,0,64,0.24,
County,Aberdeenshire,Lapwing,0,64,0.08,
County,Aberdeenshire,Lesser black backed gull,0,64,0,
County,Aberdeenshire,Little owl,0,64,0,
County,Aberdeenshire,Marsh tit,0,64,0,
County,Aberdeenshire,Raven,0,64,0.31,
County,Aberdeenshire,Ring necked parakeet,0,64,0,
County,Aberdeenshire,Waxwing,0,64,0.08,
County,Aberdeenshire,Willow tit,0,64,0,
County,Angus,House Sparrow,7.625,1,76.73,0
County,Angus,Starling,4.444,2,48.31,0
County,Angus,Chaffinch,3.961,3,66.29,0
County,Angus,Blackbird,3.929,4,96.95,0
County,Angus,Blue Tit,3.032,5,81.54,0
County,Angus,Goldfinch,2.142,6,34.83,0
County,Angus,Woodpigeon,1.863,7,62.76,0
County,Angus,Robin,1.493,8,91.33,0
County,Angus,Great Tit,1.421,9,51.04,0
County,Angus,Coal Tit,1.324,10,51.69,0
County,Angus,Dunnock,1.3,11,54.25,0
County,Angus,Collared Dove,1.266,12,45.75,0
County,Angus,Greenfinch,1.182,13,36.12,0
County,Angus,Carrion crow,0.989,14,29.38,0
County,Angus,Feral pigeon,0.808,15,19.36,0
