"ID","Name","Latitude","Longitude","Region","Country","Continent"
"310025","BASINGSTOKE (310025)","51.2621","-1.0921","","ENGLAND","EUROPE"
"310026","BATH (310026)","51.3754","-2.3585","","ENGLAND","EUROPE"
"310029","BLACKBURN (310029)","53.7484","-2.4861","","ENGLAND","EUROPE"
"310030","BLACKPOOL (310030)","53.8211","-3.0541","","ENGLAND","EUROPE"
"310031","BOGNOR REGIS (310031)","50.7825","-0.6716","","ENGLAND","EUROPE"
"310034","BOURNEMOUTH (310034)","50.7187","-1.8794","","ENGLAND","EUROPE"
"310035","BRACKNELL (310035)","51.4156","-0.7525","","ENGLAND","EUROPE"
"310037","BRIGHTON (310037)","50.8220","-0.1356","","ENGLAND","EUROPE"
"310039","BURTON UPON TRENT (310039)","52.8075","-1.6456","","ENGLAND","EUROPE"
"310042","CAMBRIDGE (310042)","52.2075","0.1240","","ENGLAND","EUROPE"
"310045","CHATHAM (310045)","51.3805","0.5238","","ENGLAND","EUROPE"
"310046","CHELMSFORD (310046)","51.7345","0.4778","","ENGLAND","EUROPE"
"310047","CHELTENHAM (310047)","51.8972","-2.0742","","ENGLAND","EUROPE"
"310048","CHESTER (310048)","53.1931","-2.8917","","ENGLAND","EUROPE"
"310049","CHESTERFIELD (310049)","53.2348","-1.4201","","ENGLAND","EUROPE"
"310053","COLCHESTER (310053)","51.8955","0.8936","","ENGLAND","EUROPE"
"310054","CORBY (310054)","52.4902","-0.6822","","ENGLAND","EUROPE"
"310055","CRAWLEY (310055)","51.1149","-0.1913","","ENGLAND","EUROPE"
"310056","CREWE (310056)","53.1001","-2.4424","","ENGLAND","EUROPE"
"310059","DONCASTER (310059)","53.5226","-1.1269","","ENGLAND","EUROPE"
"310060","DOUGLAS (ISLE OF MAN) (310060)","54.1518","-4.4840","","ISLE OF MAN","EUROPE"
"310061","DOVER (310061)","51.1259","1.3179","","ENGLAND","EUROPE"
"310063","DUNDEE (310063)","56.4621","-2.9692","","SCOTLAND","EUROPE"
"310064","DUNFERMLINE (310064)","56.0718","-3.4507","","SCOTLAND","EUROPE"
"310066","EASTBOURNE (310066)","50.7675","0.2921","","ENGLAND","EUROPE"
"310069","EXETER (310069)","50.7179","-3.5327","","ENGLAND","EUROPE"
"310071","FOLKESTONE (310071)","51.0809","1.1711","","ENGLAND","EUROPE"
